test_idx,ccId,quadrant,size_bucket,n_nodes,n_edges,y_true,prob,y_pred
14824,28931,FP,4+-node,5,4,0,0.9760323762893677,1
18572,28995,FP,4+-node,5,5,0,0.9492771029472351,1
16983,16019,FP,4+-node,6,5,0,0.9643564820289612,1
18908,9550,FP,4+-node,7,6,0,0.9969183206558228,1
11786,23863,FP,4+-node,5,4,0,0.9885265827178955,1
6190,7739,FP,4+-node,8,7,0,0.9439381957054138,1
14614,115865,FP,2-node,2,1,0,0.9650490880012512,1
10769,98777,FN,2-node,2,1,1,0.6859187483787537,0
1058,94618,FN,2-node,2,1,1,0.6381969451904297,0
6037,72861,FN,2-node,2,1,1,0.6530179977416992,0
20229,82580,FN,2-node,2,1,1,0.37849894165992737,0
20540,87815,FN,2-node,2,1,1,0.7386612296104431,0
14463,88568,FN,2-node,2,1,1,0.6581981778144836,0
19948,105568,FN,2-node,2,1,1,0.5564055442810059,0
9314,68806,FN,2-node,2,1,1,0.5158450603485107,0
14523,106700,FN,2-node,2,1,1,0.7755821943283081,0
18803,64910,FN,2-node,2,1,1,0.7273379564285278,0
10762,93075,FN,2-node,2,1,1,0.3338392376899719,0
3020,66263,FN,2-node,2,1,1,0.5199682712554932,0
5774,116561,FN,2-node,2,1,1,0.876128613948822,0
10671,57108,FN,3-node,3,2,1,0.007223066873848438,0
2949,54742,FN,3-node,3,2,1,0.6795552372932434,0
20470,47334,FN,3-node,3,2,1,0.6162616014480591,0
4250,53089,FN,3-node,3,2,1,0.0008998420089483261,0
5631,57393,FN,3-node,3,2,1,0.4941638112068176,0
13341,42180,FN,3-node,3,2,1,0.8286741375923157,0
2688,62339,FN,3-node,3,2,1,0.7788956761360168,0
11523,50436,FN,3-node,3,2,1,0.8701202869415283,0
19898,58761,FN,3-node,3,2,1,0.407583087682724,0
2649,42224,FN,3-node,3,2,1,0.770898699760437,0
21618,53361,FN,3-node,3,2,1,0.5021401643753052,0
8801,58342,FN,3-node,3,2,1,0.032536089420318604,0
1317,49084,FN,3-node,3,2,1,0.749823272228241,0
9501,37803,FN,4+-node,4,3,1,0.5651112794876099,0
12779,13806,FN,4+-node,6,5,1,0.9048577547073364,0
23337,16359,FN,4+-node,6,5,1,0.5161692500114441,0
2421,35000,FN,4+-node,4,3,1,0.6638004779815674,0
8299,33411,FN,4+-node,4,3,1,0.6151393055915833,0
5242,36647,FN,4+-node,4,3,1,0.6815277934074402,0
7801,34802,FN,4+-node,4,3,1,0.8132702708244324,0
15665,30352,FN,4+-node,4,3,1,0.26760217547416687,0
7819,22337,FN,4+-node,6,6,1,0.5151960253715515,0
5419,3468,FN,4+-node,10,9,1,0.7275514006614685,0
22747,16001,FN,4+-node,6,5,1,0.06206417456269264,0
19058,16686,FN,4+-node,6,5,1,0.8304951190948486,0
9784,40954,FN,4+-node,4,3,1,0.587405264377594,0
584,34064,FN,4+-node,4,3,1,0.002883317181840539,0
18277,122645,TN_random,2-node,2,1,0,4.2773297792564335e-08,0
5042,118176,TN_random,2-node,2,1,0,0.24283429980278015,0
11656,74406,TN_random,2-node,2,1,0,0.15528608858585358,0
2579,71294,TN_random,2-node,2,1,0,0.44777023792266846,0
16892,119038,TN_random,2-node,2,1,0,0.0011977540561929345,0
900,86316,TN_random,2-node,2,1,0,0.4341031312942505,0
24187,119434,TN_random,2-node,2,1,0,0.13271816074848175,0
12727,98544,TN_random,2-node,2,1,0,0.04808471351861954,0
23578,113962,TN_random,2-node,2,1,0,0.40501174330711365,0
16014,90830,TN_random,2-node,2,1,0,0.0008934829966165125,0
1376,52592,TN_random,3-node,3,2,0,0.0004166527069173753,0
21954,60510,TN_random,3-node,3,2,0,3.7072707073093625e-06,0
20227,45332,TN_random,3-node,3,2,0,0.05589611083269119,0
24153,63174,TN_random,3-node,3,2,0,0.03909629210829735,0
15660,62777,TN_random,3-node,3,2,0,3.4522304304118734e-06,0
7267,60554,TN_random,3-node,3,2,0,0.00014161510625854135,0
18426,45429,TN_random,3-node,3,2,0,2.9460586531068755e-13,0
23655,56908,TN_random,3-node,3,2,0,0.005003941245377064,0
18031,50357,TN_random,3-node,3,2,0,6.387620669556782e-05,0
5121,55541,TN_random,3-node,3,2,0,0.02085905522108078,0
14098,29235,TN_random,4+-node,5,4,0,0.3742140829563141,0
2831,19052,TN_random,4+-node,6,5,0,0.0008204237092286348,0
690,19642,TN_random,4+-node,6,5,0,0.4199986159801483,0
8692,34498,TN_random,4+-node,4,3,0,0.659394383430481,0
6952,8849,TN_random,4+-node,7,6,0,0.0002542613656260073,0
20036,24959,TN_random,4+-node,5,4,0,0.05202239379286766,0
20665,14397,TN_random,4+-node,6,5,0,0.43788161873817444,0
9879,18849,TN_random,4+-node,6,5,0,9.42984624998644e-05,0
8185,23395,TN_random,4+-node,6,5,0,0.12217769771814346,0
8160,37462,TN_random,4+-node,4,3,0,0.1351037323474884,0
10191,89694,TN_near,2-node,2,1,0,0.799542248249054,0
18920,72885,TN_near,2-node,2,1,0,0.8427373170852661,0
16966,102099,TN_near,2-node,2,1,0,0.7818340063095093,0
6896,114690,TN_near,2-node,2,1,0,0.7717639803886414,0
23884,98987,TN_near,2-node,2,1,0,0.8310760855674744,0
21885,117014,TN_near,2-node,2,1,0,0.7717176675796509,0
4062,102232,TN_near,2-node,2,1,0,0.8656400442123413,0
6538,69296,TN_near,2-node,2,1,0,0.7993220686912537,0
10564,105379,TN_near,2-node,2,1,0,0.8007726073265076,0
16073,94441,TN_near,2-node,2,1,0,0.7659714818000793,0
4564,49420,TN_near,3-node,3,3,0,0.8207962512969971,0
11235,45221,TN_near,3-node,3,2,0,0.8323071599006653,0
20921,60450,TN_near,3-node,3,2,0,0.816375195980072,0
13850,59553,TN_near,3-node,3,2,0,0.9089364409446716,0
20181,53447,TN_near,3-node,3,2,0,0.8071044087409973,0
7490,47941,TN_near,3-node,3,2,0,0.7770309448242188,0
23982,62039,TN_near,3-node,3,2,0,0.822203516960144,0
20571,48893,TN_near,3-node,3,2,0,0.8414551019668579,0
14791,55452,TN_near,3-node,3,3,0,0.7710232734680176,0
16141,56700,TN_near,3-node,3,2,0,0.8141703009605408,0
722,30760,TN_near,4+-node,4,3,0,0.8004540801048279,0
17441,29265,TN_near,4+-node,5,4,0,0.8214396834373474,0
6494,11541,TN_near,4+-node,7,6,0,0.8273186087608337,0
6151,10461,TN_near,4+-node,7,6,0,0.7823970317840576,0
19024,18022,TN_near,4+-node,6,5,0,0.7942451238632202,0
17678,29580,TN_near,4+-node,5,4,0,0.8268793821334839,0
11961,33734,TN_near,4+-node,4,3,0,0.900934636592865,0
4324,13501,TN_near,4+-node,6,7,0,0.779266893863678,0
10032,34697,TN_near,4+-node,4,3,0,0.8758577108383179,0
18656,23311,TN_near,4+-node,6,5,0,0.8325472474098206,0
